dataset,group,total_count,share_toxic,average_word_count
toxigen,aggregate,7846,0.5,18.191562579658424
toxigen,asian,654,0.5,17.12691131498471
toxigen,black,360,0.5,21.691666666666666
toxigen,disability,882,0.5,17.27777777777778
toxigen,female,202,0.5,16.193069306930692
toxigen,jewish,400,0.5,20.235
toxigen,latinx,470,0.5,17.004255319148935
toxigen,lgbtq,480,0.5,20.727083333333333
toxigen,muslim,820,0.5,18.296341463414635
jigsaw,aggregate,50000,0.5,47.60694
jigsaw,asian,284,0.5,70.0669014084507
jigsaw,black,4230,0.5,73.65035460992908
jigsaw,disability,1048,0.5,58.31297709923664
jigsaw,female,6170,0.5,71.83598055105348
jigsaw,jewish,714,0.5,72.01540616246498
jigsaw,latinx,130,0.5,63.40769230769231
jigsaw,lgbtq,2674,0.5,69.28870605833957
jigsaw,muslim,3978,0.5,66.88285570638512
megaspeech,aggregate,50000,0.5,18.9651
megaspeech,asian,1666,0.5,19.554021608643456
megaspeech,black,10126,0.5,18.79211929685957
megaspeech,jewish,898,0.5,18.814031180400892
megaspeech,latinx,1260,0.5,19.561904761904763
megaspeech,lgbtq,484,0.5,18.774793388429753
megaspeech,muslim,2730,0.5,19.307692307692307
megaspeech,female,16722,0.5,18.949886377227603
