API,Group,F1 Score,ROC AUC,False Positive Rate,False Negative Rate,Pinned ROC AUC
amazon,muslim,0.6903399264174083,0.7040293040293041,0.08571428571428572,0.5062271062271062,0.8393189196849582
amazon,lgbtq,0.7916666666666666,0.7933884297520661,0.2975206611570248,0.11570247933884298,0.8289010726241717
amazon,black,0.7451347492316328,0.752617025478965,0.07604187240766344,0.4187240766344065,0.8360356392758432
amazon,jewish,0.6585675817851321,0.6748329621380846,0.10690423162583519,0.5434298440979956,0.7916751420137424
amazon,female,0.7404334144336644,0.745305585456285,0.11768927161822748,0.39169955746920226,0.8241997064726266
amazon,asian,0.6763148382432677,0.6902761104441776,0.10204081632653061,0.517406962785114,0.7748159431327747
amazon,latinx,0.605925925925926,0.6380952380952382,0.0761904761904762,0.6476190476190476,0.748033896852975
gpt,latinx,0.6733386233492145,0.6898756240260772,0.08723747980613894,0.533011272141707,0.8401697349387559
gpt,asian,0.7206187715741358,0.7271084337349397,0.12048192771084337,0.42530120481927713,0.8258844910502121
gpt,female,0.7556721465344132,0.7616215110920869,0.08254575906208876,0.3942112187537376,0.8701074086487348
gpt,jewish,0.7107891679997904,0.7217122696819582,0.09382151029748284,0.46275395033860045,0.8216305225874604
gpt,lgbtq,0.804374405651406,0.80625,0.2916666666666667,0.09583333333333334,0.8772027292140488
gpt,black,0.7629940196121064,0.7699266028967255,0.05868405453467694,0.4014627396718719,0.8844629307560689
gpt,muslim,0.7769383954803625,0.779945999018164,0.10677466863033873,0.3333333333333333,0.8750345345126158
google,asian,0.6660792420798993,0.67046818727491,0.44417767106842737,0.2148859543817527,0.6853468962445937
google,latinx,0.6428571428571429,0.6444444444444444,0.4222222222222222,0.28888888888888886,0.6450163687619356
google,jewish,0.6464485050603304,0.6781737193763919,0.621380846325167,0.022271714922048998,0.7885508454393904
google,lgbtq,0.6547490856221178,0.6756198347107438,0.5702479338842975,0.07851239669421488,0.7612205801860974
google,black,0.722217732298997,0.7252617025478965,0.3794193166107051,0.17005727829350187,0.7492656843384239
google,female,0.7307637628132403,0.7343021169716542,0.3803372802296376,0.15105848582705417,0.7765185894753901
google,muslim,0.612372175147464,0.6516483516483517,0.6666666666666666,0.030036630036630037,0.7855195304281365
microsoft,black,0.7374891510513764,0.742938968990717,0.11297649614852855,0.4011455658700375,0.8135113001117704
microsoft,latinx,0.5637953574334742,0.5992063492063492,0.11587301587301588,0.6857142857142857,0.6729965354330708
microsoft,lgbtq,0.7189626208406653,0.7293388429752067,0.4628099173553719,0.07851239669421488,0.7356271777003484
microsoft,jewish,0.6403356232097138,0.6481069042316259,0.20489977728285078,0.49888641425389757,0.7185552843592492
microsoft,asian,0.6439714493311108,0.651860744297719,0.1992797118847539,0.4969987995198079,0.7178802630972145
microsoft,female,0.7388857063513617,0.7407606745604592,0.1745006578160507,0.34397799306303073,0.8026554953538749
microsoft,muslim,0.646791956995501,0.6567765567765568,0.17509157509157508,0.5113553113553113,0.7725290373901855
